5.76e+02,1.18e+01,2.92e+02,2.92e+02,7.00e+00,6.00e+00
1.15e+03,6.17e+01,5.06e+02,5.06e+02,7.00e+00,6.00e+00
1.73e+03,9.63e+01,6.01e+02,6.01e+02,7.00e+00,6.00e+00
2.30e+03,3.17e+02,5.44e+02,6.01e+02,7.00e+00,6.00e+00
2.88e+03,4.23e+02,6.13e+02,6.13e+02,7.00e+00,6.00e+00
3.46e+03,4.41e+02,6.08e+02,6.13e+02,7.00e+00,6.00e+00
4.03e+03,4.56e+02,6.41e+02,6.41e+02,7.00e+00,6.00e+00
4.61e+03,4.52e+02,6.40e+02,6.41e+02,7.00e+00,6.00e+00
5.18e+03,4.56e+02,6.21e+02,6.41e+02,7.00e+00,6.00e+00
5.76e+03,4.48e+02,6.42e+02,6.42e+02,7.00e+00,6.00e+00
6.34e+03,4.70e+02,6.82e+02,6.82e+02,7.00e+00,6.00e+00
6.91e+03,4.69e+02,6.60e+02,6.82e+02,7.00e+00,6.00e+00
7.49e+03,4.57e+02,6.61e+02,6.82e+02,7.00e+00,6.00e+00
8.06e+03,4.50e+02,6.65e+02,6.82e+02,7.00e+00,6.00e+00
8.64e+03,4.57e+02,6.51e+02,6.82e+02,7.00e+00,6.00e+00
9.22e+03,4.67e+02,6.65e+02,6.82e+02,7.00e+00,6.00e+00
9.79e+03,4.56e+02,6.70e+02,6.82e+02,7.00e+00,6.00e+00
1.04e+04,4.34e+02,6.75e+02,6.82e+02,7.00e+00,6.00e+00
1.09e+04,4.45e+02,6.70e+02,6.82e+02,7.00e+00,6.00e+00
1.15e+04,4.35e+02,6.70e+02,6.82e+02,7.00e+00,6.00e+00
1.21e+04,4.35e+02,6.68e+02,6.82e+02,7.00e+00,6.00e+00
1.27e+04,4.35e+02,6.86e+02,6.86e+02,7.00e+00,6.00e+00
1.32e+04,4.28e+02,6.61e+02,6.86e+02,7.00e+00,6.00e+00
1.38e+04,4.38e+02,6.73e+02,6.86e+02,7.00e+00,6.00e+00
1.44e+04,4.39e+02,6.65e+02,6.86e+02,7.00e+00,6.00e+00
1.50e+04,4.33e+02,6.63e+02,6.86e+02,7.00e+00,6.00e+00
1.56e+04,4.13e+02,6.60e+02,6.86e+02,7.00e+00,6.00e+00
1.61e+04,4.22e+02,6.76e+02,6.86e+02,7.00e+00,6.00e+00
1.67e+04,4.25e+02,6.68e+02,6.86e+02,7.00e+00,6.00e+00
1.73e+04,4.52e+02,6.89e+02,6.89e+02,7.00e+00,6.00e+00
1.79e+04,4.24e+02,6.64e+02,6.89e+02,7.00e+00,6.00e+00
1.84e+04,4.16e+02,6.68e+02,6.89e+02,7.00e+00,6.00e+00
1.90e+04,4.30e+02,6.68e+02,6.89e+02,7.00e+00,6.00e+00
1.96e+04,4.22e+02,6.76e+02,6.89e+02,7.00e+00,6.00e+00
2.02e+04,4.38e+02,6.69e+02,6.89e+02,7.00e+00,6.00e+00
2.07e+04,4.06e+02,6.99e+02,6.99e+02,7.00e+00,6.00e+00
2.13e+04,4.06e+02,6.73e+02,6.99e+02,7.00e+00,6.00e+00
2.19e+04,4.26e+02,6.70e+02,6.99e+02,7.00e+00,6.00e+00
2.25e+04,4.32e+02,6.63e+02,6.99e+02,7.00e+00,6.00e+00
2.30e+04,4.19e+02,6.69e+02,6.99e+02,7.00e+00,6.00e+00
2.36e+04,4.18e+02,6.72e+02,6.99e+02,7.00e+00,6.00e+00
2.42e+04,4.16e+02,6.68e+02,6.99e+02,7.00e+00,6.00e+00
2.48e+04,4.31e+02,6.75e+02,6.99e+02,7.00e+00,6.00e+00
2.53e+04,3.93e+02,6.67e+02,6.99e+02,7.00e+00,6.00e+00
2.59e+04,3.97e+02,6.66e+02,6.99e+02,7.00e+00,6.00e+00
2.65e+04,4.11e+02,6.85e+02,6.99e+02,7.00e+00,6.00e+00
2.71e+04,4.03e+02,6.79e+02,6.99e+02,7.00e+00,6.00e+00
2.76e+04,4.27e+02,6.91e+02,6.99e+02,7.00e+00,6.00e+00
2.82e+04,3.77e+02,6.86e+02,6.99e+02,7.00e+00,6.00e+00
2.88e+04,3.82e+02,6.80e+02,6.99e+02,7.00e+00,6.00e+00
2.94e+04,3.87e+02,6.77e+02,6.99e+02,7.00e+00,6.00e+00
3.00e+04,3.89e+02,6.83e+02,6.99e+02,7.00e+00,6.00e+00
3.05e+04,3.92e+02,6.78e+02,6.99e+02,7.00e+00,6.00e+00
3.11e+04,3.79e+02,6.82e+02,6.99e+02,7.00e+00,6.00e+00
3.17e+04,4.14e+02,6.83e+02,6.99e+02,7.00e+00,6.00e+00
3.23e+04,4.03e+02,6.93e+02,6.99e+02,7.00e+00,6.00e+00
3.28e+04,3.90e+02,6.94e+02,6.99e+02,7.00e+00,6.00e+00
3.34e+04,3.94e+02,6.78e+02,6.99e+02,7.00e+00,6.00e+00
3.40e+04,4.05e+02,6.66e+02,6.99e+02,7.00e+00,6.00e+00
3.46e+04,3.78e+02,6.69e+02,6.99e+02,7.00e+00,6.00e+00
3.51e+04,4.28e+02,6.80e+02,6.99e+02,7.00e+00,6.00e+00
3.57e+04,3.87e+02,6.80e+02,6.99e+02,7.00e+00,6.00e+00
3.63e+04,3.89e+02,6.73e+02,6.99e+02,7.00e+00,6.00e+00
3.69e+04,3.79e+02,6.76e+02,6.99e+02,7.00e+00,6.00e+00
3.74e+04,3.77e+02,6.68e+02,6.99e+02,7.00e+00,6.00e+00
3.80e+04,3.90e+02,6.82e+02,6.99e+02,7.00e+00,6.00e+00
3.86e+04,3.82e+02,6.75e+02,6.99e+02,7.00e+00,6.00e+00
3.92e+04,3.79e+02,6.72e+02,6.99e+02,7.00e+00,6.00e+00
3.97e+04,4.02e+02,6.81e+02,6.99e+02,7.00e+00,6.00e+00
4.03e+04,3.62e+02,6.73e+02,6.99e+02,7.00e+00,6.00e+00
4.09e+04,3.92e+02,6.79e+02,6.99e+02,7.00e+00,6.00e+00
4.15e+04,3.82e+02,7.01e+02,6.99e+02,7.00e+00,6.00e+00
4.20e+04,3.64e+02,7.05e+02,6.99e+02,7.00e+00,6.00e+00
4.26e+04,3.91e+02,6.99e+02,6.99e+02,7.00e+00,6.00e+00
4.32e+04,3.68e+02,6.70e+02,6.99e+02,7.00e+00,6.00e+00
